ID,Titulo,tiempos_inicio (segs.),tiempos_fin (segs.)
234.CA.AGN.L1.03,"Ciclo de Audiciones titulado ""Tribuna Oral"". Entrevista al Dr. Héctor Francisco Musitani.",490.8,491.46
,,749.73,750.3
297.CA.AGN.L2.02,"Conferencia del Julián Marías: ""La realidad de Occidente"". Parte 1.",115.32,115.83
,,3137.93,3138.44
981.D40.AGN.LB.02,Acto en honor del Presidente del Líbano Dr. Camille Chamoun,300.48,301.29
,,312.81498,313.468623
,,331.299814,332.01
117.CA.AGN.L1.01,Discurso de Juan Perón en el Luna Park dirigiéndose a la juventud.,74.4,75.158511
,,149.01,149.732593
,,222.24,222.69
,,232.260747,232.892651
,,285.721816,286.32
,,407.371904,408.09
,,492.48,493.14
,,612.72,613.319883
,,666.72,667.44
,,879.45,880.020146
,,1062.95335,1063.65
,,1131.51,1132.283437
,,1184.113887,1184.639766
,,1213.64,1214.42
333.CA.AGN.L2.01,Evento recordatorio de la primera transmisión radiofónica efectuada en la Argentina el día 27 de agosto de 1920. Parte 2.,52.41,52.8
,,107.64,108.15
,,164.76,165.21
,,176.52,177.0
166.CA.AGN.L1.01,Congreso Nacional de Trabajadores Agrarios. Parte 3,95.79,96.24
,,434.01,434.43
,,593.55,594.36
,,953.56,954.07
,,1056.73,1057.39
,,1263.74,1264.4
,,1271.154098,1271.75
,,1305.98,1306.58
,,1329.95,1330.7
,,1521.92,1522.82
,,1540.76,1541.45
919.D40.AGN.LA.01,Discurso del Presidente Juan D. Perón con motivo de la inauguración del 1 er Congreso de la Productividad y Bienestar Social.,129.66,130.35
180.CA.AGN.L2.01,"Conferencia pronunciada por el Académico español en la Academia Nacional de Medicina, sobre el tema: ""La enfermedad como prueba"". Parte 2",619.989641,620.62
805.D40.AGN.LA.01,Visita del Presidente General Juan D. Perón a Paraguay. 3 de octubre. Parte 3.,314.577451,315.12
,,664.37,664.76
318.CA.AGN.L1.03,Homenaje al primer titular de la Escuela de Kinesiología Dr. Octavio Fernández. Parte 1.,424.564717,424.978975
183.CA.AGN.L1.02,"Conferencia pronunciada en el Museo Mitre, sobre el tema: ""La batalla de Pavón"". Parte 2",1444.24,1444.69
,,2505.26,2505.92
1053.D40.AGN.LA.01,"Discurso pronunciado por el Presidente de Facto, General Pedro E. Aramburu. Comida de camaradería de las Fuerzas Armadas. Parte 1.",229.59,230.37
,,347.849004,348.36
200.D25.AGN.LA.01,"Generales, Almirantes y Brigadieres agasajaran al General Juan D. Perón con motivo de su ascenso",301.349766,301.74
327.CA.AGN.L2.03,Discurso del Presidente Juan Carlos Onganía en el Acto de recepción al Presidente de Uruguay Jorge Pacheco realizado en el Salón Blanco de la Casa de Gobierno.,818.87,819.41
776.D40.AGN.LA.01,Inauguración de los cursos en la escuela de periodismo. Parte 2.,264.93,265.47
,,695.85,696.521199
,,756.96,757.86
,,767.67,768.415854
,,972.69,973.29
138.CA.AGN.L1.01,Audiencia concedida por Juan Perón a legisladores promovidos que finalizaron su mandato.,511.05,511.47
,,523.95,524.550117
,,533.04,533.82
,,659.78,660.41
,,730.67,731.148623
,,843.05,843.53
,,850.91,851.78
,,853.07,853.79
,,862.55,863.0
,,864.08,864.65
,,978.26,978.92
,,1413.775425,1414.45
,,1443.07,1444.06
,,1474.0,1474.75
,,1489.09,1489.78
,,1568.86,1569.67
323.CA.AGN.L1.03,Acto de clausura de las Primeras Jornadas Nacionales de microfilmación de archivos. Parte 1.,136.651084,137.07
983.D40.AGN.LA.02,Discurso del Juan D. Perón a la Asociación de Viajantes de Comercio,417.81,418.59
304.CA.AGN.L2.02,"Programa ""Volver a Vivir"". Audición que dirige en en el Canal 13 TV. Homenaje rendido al Sr. Cátulo Castillo.",90.3,90.628162
,,740.23,740.59
,,824.65,825.25
,,1176.940879,1177.21
,,1333.81,1334.11
,,1532.74,1533.068242
,,1705.27,1705.72
,,2008.94,2009.27
,,2672.939238,2673.48
302.CA.AGN.L1.03,"Reportaje realizado por Radio Municipal a Julio Cear González, Director del Archivo General de la Nación, respecto a las funciones que cumple esta Institución. Programa radial: ""Hombres"". Parte 1.",538.620117,538.95
,,692.71,693.16
,,703.33,703.75
240.CA.AGN.L1.02,"Ciclo de Audiciones titulado ""Tribuna Oral"". Entrevista a Alejandro Gómez.",18.57,19.2
,,285.6,286.14
,,1172.71,1172.98
,,1250.41,1251.07
,,1418.38,1418.86
43.CA.AGN.L1.01,Congreso Nacional de Filosofía.,442.17,442.71
892.D40.AGN.LA.01,Apertura del 88° Periodo Legislativo. Año 1954. Parte 8.,87.78,88.53
,,433.320264,433.89
228.CA.AGN.L1.03,"Ciclo de Audiciones titulado ""Tribuna Oral"". Entrevista a Alfredo R. Vitolo. Parte 1.",292.92,293.34
,,373.08,373.5
229.CA.AGN.L1.03,"Ciclo de Audiciones titulado ""Tribuna Oral"". Entrevista a Carlos A. González Fernández.",608.79,609.24
,,640.16,640.79
,,722.03,722.6
,,731.6,732.14
,,975.2,975.8
,,990.65,991.13
,,1035.89,1036.43
,,1119.05,1119.59
,,1201.88,1202.3
914.D40.AGN.LA.01,Acto organizado por la Confederación General Económica solicitando el proyecto de ley de Jubilaciones para empresarios. Parte 1.,178.71,179.4
,,416.61,417.21
,,651.85,652.42
,,661.716755,662.288242
,,683.68,684.186177
,,725.89,726.58
,,749.8,750.25
,,811.037866,811.66
,,848.135825,848.71
282.CA.AGN.L2.01,Acto de ingreso como miembro de número a la Academia Nacional de la Historia del Dr. Enrique Williams Alzaga. Parte 2.,2270.29,2271.04
,,3809.57,3809.99
212.CA.AGN.L2.01,"Conferencia de Julián Marías: ""Cincuenta años de España"", realizada en la Institución Cultural Española. Parte 2.",86.61,87.18
250.CA.AGN.L1.05,Visita de Charles de Gaulle a la Argentina,1203.880703,1204.39
,,1212.97,1213.41959
,,1213.48,1213.99
,,1241.39,1241.9
